"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2022","8.60","8.50","8.90","8.50","201.54K","-1.15%"
"08/17/2022","8.70","8.70","8.70","8.40","825.38K","2.35%"
"08/16/2022","8.50","8.80","8.90","8.40","1.68M","-3.41%"
"08/15/2022","8.80","8.90","9.00","8.70","420.84K","-1.12%"
"08/12/2022","8.90","9.00","9.00","8.80","3.03M","-1.11%"
"08/10/2022","9.00","9.00","9.10","8.90","1.23M","-1.10%"
"08/09/2022","9.10","9.10","9.20","9.00","519.12K","0.00%"
"08/08/2022","9.10","9.00","9.10","9.00","717.01K","1.11%"
"08/05/2022","9.00","9.20","9.20","9.00","302.90K","-2.17%"
"08/04/2022","9.20","9.20","9.20","9.10","418.47K","1.10%"
"08/03/2022","9.10","9.00","9.20","9.00","718.85K","1.11%"
"08/02/2022","9.00","9.00","9.10","8.90","417.63K","1.12%"
"08/01/2022","8.90","9.00","9.00","8.80","571.06K","0.00%"
"07/29/2022","8.90","8.80","9.00","8.70","2.36M","-1.11%"
"07/28/2022","9.00","9.00","9.00","8.90","21.70K","0.00%"
"07/27/2022","9.00","8.90","9.00","8.90","29.26K","0.00%"
"07/26/2022","9.00","8.90","9.00","8.90","123.20K","0.00%"
"07/25/2022","9.00","9.00","9.00","8.90","121.38K","0.00%"
"07/22/2022","9.00","8.70","9.00","8.70","114.57K","2.27%"
